idHotel	name	description	price	idAsUUID
3	Pokój 1 os.	2-os. (możliwość 1 dostawki dla os. dorosłej lub 2 dzieci),  ok. 30 m²,  zadbany,  indywidualnie sterowana klimatyzacja,  łazienka (wanna z prysznicem, wc; suszarka),  telewizor,  sejf,  zestaw do kawy/herbaty,  bezpłatne łóżeczko dla dziecka do 2 lat na zamówienie przed przyjazdem,  balkon lub taras (stolik i krzesełka),  za opłatą: internet bezprzewodowy, minibar (uzupełniany na życzenie, płatny wg konsumpcji)	6148	d3439589-5636-4437-812c-26cfdf60c530
3	Pokój 2 os.	2-os. (możliwość 1 dostawki dla os. dorosłej lub 2 dzieci),  ok. 30 m²,  zadbany,  indywidualnie sterowana klimatyzacja,  łazienka (wanna z prysznicem, wc; suszarka),  telewizor,  sejf,  zestaw do kawy/herbaty,  bezpłatne łóżeczko dla dziecka do 2 lat na zamówienie przed przyjazdem,  balkon lub taras (stolik i krzesełka),  za opłatą: internet bezprzewodowy, minibar (uzupełniany na życzenie, płatny wg konsumpcji)	4949	d775c26a-a07f-4e98-81a4-c76d836314a0
3	Pokój 2 os. + 1 dostawka	2-os. (możliwość 1 dostawki dla os. dorosłej lub 2 dzieci),  ok. 30 m²,  zadbany,  indywidualnie sterowana klimatyzacja,  łazienka (wanna z prysznicem, wc; suszarka),  telewizor,  sejf,  zestaw do kawy/herbaty,  bezpłatne łóżeczko dla dziecka do 2 lat na zamówienie przed przyjazdem,  balkon lub taras (stolik i krzesełka),  za opłatą: internet bezprzewodowy, minibar (uzupełniany na życzenie, płatny wg konsumpcji)	4949	a95ad70c-5e94-452f-a4ed-6e4c611ae3c9
5	Pokój superior 1 os.	2-os. (możliwość 1 dostawki – łóżko pojedyncze),  ok. 36 m²,  elegancki i luksusowy,  indywidualnie sterowana klimatyzacja,  łazienka (prysznic, wc, suszarka),  szlafrok, kapcie,  internet bezprzewodowy,  telewizja satelitarna,  telefon,  zestaw do kawy/herbaty,  sejf,  minibar,  balkon lub taras (stolik i krzesełka),  raz na pobyt kolacja w restauracji á la carte	5798	66e24b1b-bf63-4f13-93a3-2b2112c7f245
6	Pokój 1 os.	Pokój 1 os.	5602	bda558dd-fd5c-42c2-8cf9-ee02c6a1debd
6	Pokój 2 os.	2-os. (możliwość 1 dostawki dla os. dorosłej lub 2 dzieci),  ok. 32 m²,  zadbany i nowoczesny,  centralna klimatyzacja,  łazienka (wanna lub prysznic, suszarka),  internet bezprzewodowy,  telewizja satelitarna,  telefon,  sejf,  lodówka,  bezpłatne łóżeczko dla dziecka do 2 lat na zamówienie przed przyjazdem	3809	80fe392e-2908-49cd-9a36-f4619ccb2b65
6	Pokój 2 os. boczny widok na morze	2-os. (możliwość 1 dostawki dla dziecka),  ok. 32 m²,  zadbany i nowoczesny,  centralna klimatyzacja,  łazienka (wanna lub prysznic, suszarka),  internet bezprzewodowy,  telewizja satelitarna,  telefon,  sejf,  lodówka,  bezpłatne łóżeczko dla dziecka do 2 lat na zamówienie przed przyjazdem,  balkon (stolik i krzesełka),  boczny widok na morze	4023	3ceea004-351c-4865-a777-81f4d448c60c
6	Pokój 2 os. widok na morze	Pokój 2 os. widok na morze	4067	a886a4ef-9e7e-4699-8b2d-b41859ea9f71
6	Pokój 2 os. + 1 dostawka	2-os. (możliwość 1 dostawki dla os. dorosłej lub 2 dzieci),  ok. 32 m²,  zadbany i nowoczesny,  centralna klimatyzacja,  łazienka (wanna lub prysznic, suszarka),  internet bezprzewodowy,  telewizja satelitarna,  telefon,  sejf,  lodówka,  bezpłatne łóżeczko dla dziecka do 2 lat na zamówienie przed przyjazdem	3809	6a4aa6ea-9da6-42c1-b046-f7e8013e5002
6	Pokój 2 os. + 1 dostawka, boczny widok na morze	2-os. (możliwość 1 dostawki dla dziecka),  ok. 32 m²,  zadbany i nowoczesny,  centralna klimatyzacja,  łazienka (wanna lub prysznic, suszarka),  internet bezprzewodowy,  telewizja satelitarna,  telefon,  sejf,  lodówka,  bezpłatne łóżeczko dla dziecka do 2 lat na zamówienie przed przyjazdem,  balkon (stolik i krzesełka),  boczny widok na morze	4130	73ffca5e-9a82-4544-83ef-b96139625e24
6	Pokój 2 os. + 1 dostawka, widok na morze	Pokój 2 os. + 1 dostawka, widok na morze	4196	b80ae3d1-496d-4091-b902-0e73413c0bb6
8	Pokój 1 os.	2-os. (możliwość 1 dostawki),  ok. 30 m²,  nowoczesny,  klimatyzowany,  łazienka (prysznic, wc, suszarka),  internet bezprzewodowy,  telewizor,  telefon,  lodówka,  sejf,  balkon,  za opłatą: minibar (wg zużycia)	5199	68805a4b-91e4-414a-bdf6-e25c449b35d2
8	Pokój 2 os.	2-os. (możliwość 1 dostawki),  ok. 30 m²,  nowoczesny,  klimatyzowany,  łazienka (prysznic, wc, suszarka),  internet bezprzewodowy,  telewizor,  telefon,  lodówka,  sejf,  balkon,  za opłatą: minibar (wg zużycia)	2899	7b90c62a-eeff-4feb-8c7b-a51570f19b8e
8	Pokój 2 os. widok na morze	2-os. (możliwość 1 dostawki),  ok. 30 m²,  nowoczesny,  klimatyzowany,  łazienka (prysznic, wc, suszarka),  internet bezprzewodowy,  telewizor,  telefon,  lodówka,  sejf,  balkon,  widok na morze,  za opłatą: minibar (wg zużycia)	3299	fbe9908b-feec-4ae6-813a-146acc319798
8	Pokój 2 os. + 1 dostawka	2-os. (możliwość 1 dostawki),  ok. 30 m²,  nowoczesny,  klimatyzowany,  łazienka (prysznic, wc, suszarka),  internet bezprzewodowy,  telewizor,  telefon,  lodówka,  sejf,  balkon,  za opłatą: minibar (wg zużycia)	2899	1fd52618-7413-4843-8347-3b40b3f2ffe5
10	Pokój 1 os.	2-os. (możliwość 1 dostawki),  ok. 30 m²,  indywidualnie sterowana klimatyzacja,  łazienka (wanna lub prysznic, wc),  telewizja satelitarna,  telefon,  sejf,  lodówka,  balkon,  widok na ogród	7439	372762b7-34d3-4985-865a-91f895301414
10	Pokój 2 os.	2-os. (możliwość 1 dostawki),  ok. 30 m²,  indywidualnie sterowana klimatyzacja,  łazienka (wanna lub prysznic, wc),  telewizja satelitarna,  telefon,  sejf,  lodówka,  balkon,  widok na ogród	5449	ca21497b-15b4-4234-a791-0c906ab5679d
10	Pokój 2 os. widok na morze	2-os. (możliwość 1 dostawki),  ok. 30 m²,  indywidualnie sterowana klimatyzacja,  łazienka (wanna lub prysznic, wc),  telewizja satelitarna,  telefon,  sejf,  lodówka,  balkon,  widok na morze	6149	810a5571-0ca4-4f3c-bc25-1ddbdbb812e9
10	Pokój 2 os. + 1 dostawka	2-os. (możliwość 1 dostawki),  ok. 30 m²,  indywidualnie sterowana klimatyzacja,  łazienka (wanna lub prysznic, wc),  telewizja satelitarna,  telefon,  sejf,  lodówka,  balkon,  widok na ogród	5449	83604ba1-b1f9-41d6-8939-9f75264097b7
10	Pokój 2 os. + 1 dostawka, widok na morze	2-os. (możliwość 1 dostawki),  ok. 30 m²,  indywidualnie sterowana klimatyzacja,  łazienka (wanna lub prysznic, wc),  telewizja satelitarna,  telefon,  sejf,  lodówka,  balkon,  widok na morze	6499	df066d5b-d24e-4366-ad3e-387c4c0c1420
10	Pokój rodzinny 3 os.	dla maks. 4 os,  ok. 50 m²,  indywidualnie sterowana klimatyzacja,  łazienka (wanna lub prysznic, wc),  telewizja satelitarna,  telefon,  sejf,  lodówka,  balkon,  widok na ogród	6799	cfebf69c-411e-46bb-a08e-23becfb34856
10	Pokój rodzinny 4 os.	dla maks. 4 os,  ok. 50 m²,  indywidualnie sterowana klimatyzacja,  łazienka (wanna lub prysznic, wc),  telewizja satelitarna,  telefon,  sejf,  lodówka,  balkon,  widok na ogród	5899	24a73828-3f2b-4f20-8b09-6f67fc6d00a6
11	Pokój superior 1 os.	2-os. (możliwość 1 lub 2 dostawek dla dzieci),  elegancki, nowoczesny,  ok. 40 m²,  indywidualnie sterowana klimatyzacja,  łazienka (prysznic, wc, suszarka),  telewizja satelitarna,  sejf,  zestaw do kawy/herbaty,  bezpłatne łóżeczko dla dziecka do 2 lat na zamówienie przed przyjazdem,  balkon (stolik i krzesełka),  za opłatą: minibar (płatny wg konsumpcji)	4498	43ee56f8-a0e1-4cdc-b902-774c21f3eaf7
11	Pokój superior 2 os.	2-os. (możliwość 1 lub 2 dostawek dla dzieci),  elegancki, nowoczesny,  ok. 40 m²,  indywidualnie sterowana klimatyzacja,  łazienka (prysznic, wc, suszarka),  telewizja satelitarna,  sejf,  zestaw do kawy/herbaty,  bezpłatne łóżeczko dla dziecka do 2 lat na zamówienie przed przyjazdem,  balkon (stolik i krzesełka),  za opłatą: minibar (płatny wg konsumpcji)	3499	7a124d6e-3fb6-46d2-a998-7e2209914de3
11	Pokój superior 2 os. widok na morze	2-os. (możliwość 1 lub 2 dostawek dla dzieci),  elegancki, nowoczesny,  ok. 40 m²,  indywidualnie sterowana klimatyzacja,  łazienka (prysznic, wc, suszarka),  telewizja satelitarna,  sejf,  zestaw do kawy/herbaty,  bezpłatne łóżeczko dla dziecka do 2 lat na zamówienie przed przyjazdem,  balkon (stolik i krzesełka),  widok na morze,  za opłatą: minibar (płatny wg konsumpcji)	3799	c94a93ed-daf0-4cff-89fd-d8298427e57e
